abandon,all,technology,save,us
abandon,fear,defend,future,
abandon,fear,defend,future,together
abandon,fear,see,future,
abandon,fear,see,future,destination
abandon,fear,together,,
abandon,restraint,pursue,speed,together
abandon,war,create,love,
accept,human,inside,n,l
accept,human,weak,,
accept,weak,love,self,
adapt,create,new,future,together
adapt,idea,discover,evolution,
adapt,technology,,,
adapt,thought,discover,evolution,
adapt,thought,discover,simple,success
advance,civilization,pursue,shapers,path
advance,civilization,pursue,shapers,truth
advance,civilization,repeat,failure,
advance,enlightenment,,,
advance,human,enlightenment,,
advance,human,resistance,,
advance,pure,truth,,
advance,resistance,,,
advance,truth,,,
after,imperfect,human,presence,consequence
again,journey,outside,,
all,answer,inside,love,
all,chaos,,,
all,chaos,inside,body,
all,civilization,chaos,,
all,safety,inside,love,
all,xm,liberate,,
answer,nzeer,question,,
answer,nzeer,question,potential,knowledge
answer,question,discover,difficult,truth
answer,repeat,struggle,,
attack,capture,link,,
attack,difficult,future,,
attack,enlightenment,pursue,resistance,
attack,resistance,pursue,enlightenment,
attack,shapers,chaos,,
attack,shapers,evolution,,
attack,shapers,portal,,
attack,weak,shapers,lie,
avoid,attack,chaos,,
avoid,balance,stability,human,self
avoid,chaos,,,
avoid,chaos,avoid,shapers,lie
avoid,chaos,have,self,love,
avoid,chaos,repair,potential,war
avoid,chaos,soul,,
avoid,complex,conflict,,
avoid,complex,soul,,
avoid,complex,truth,,
avoid,conflict,,,
avoid,destiny,lie,,
avoid,impure,evolution,,
avoid,perfection,stay,human,self
avoid,pure,chaos,,
avoid,war,chaos,,
avoid,xm,message,lie,
before,mystery,after,knowledge,
begin,human,legacy,now,
begin,journey,breathe,xm,
begin,journey,breathe,xm,evolution
begin,new,journey,,
begin,new,n,l,journey
begin,new,struggle,,
breathe,again,journey,again,
breathe,inside,xm,lose,self
breathe,love,,,
breathe,nature,perfection,harmony,
capture,fear,discover,courage,
capture,heart,capture,human,
capture,portal,defend,portal,courage
capture,shapers,portal,,
capture,victory,together,,
capture,xm,,,
capture,xm,portal,,
change,body,improve,human,
change,future,,,
change,future,capture,destiny,
change,human,destiny,discover,love,
change,human,destiny,use,love
change,human,future,,
change,human,potential,use,
change,now,,,
change,perspective,,,
change,perspective,begin,new,
change,perspective,begin,new,struggle
change,perspective,save,heart,soul
change,perspective,technology,,
chaos,attack,conflict,discover,harmony
chaos,barrier,shapers,portal,
chaos,perfection,stability,human,self
civilization,war,chaos,,
clear,consequence,,,
clear,mind,liberate,barrier,body
clear,mind,open,mind,
clear,path,help,n,l
clear,your,mind,,
clear,your,mind,creativity,grow
clear,your,mind,more,balance
clearall,idea,past,present,future
clearall,link,,,
clearall,openall,discover,truth,
complex,future,,,
complex,journey,future,,
complex,shapers,civilization,strong,
conflict,grow,war,,
conflict,grow,war,danger,
conflict,heart,conflict,soul,
contemplate,chaos,before,link,
contemplate,complex,shapers,civilization,
contemplate,complex,shapers,truth,
contemplate,field,pursue,human,legacy
contemplate,future,not,shapers,path
contemplate,journey,,,
contemplate,journey,outside,,
contemplate,love,,,
contemplate,potential,journey,,
contemplate,potential,perfection,,
contemplate,restraint,discover,more,courage
contemplate,self,path,truth,
courage,attack,shapers,future,
courage,attack,shapers,portal,together
courage,destiny,rebel,,
courage,love,self,,
courage,war,shapers,future,
create,danger,,,
create,distance,impure,path,
create,future,change,destiny,
create,future,journey,,
create,future,not,war,
create,love,not,war,
create,love,together,,
create,new,future,,
create,new,future,see,all
create,new,portal,potential,
create,new,portal,potential,future
create,pure,future,human,civilization
create,pure,future,not,war
create,separate,path,end,journey
create,truth,legacy,,
danger,change,past,,
death,end,love,not,
defend,destiny,defend,human,civilization
defend,field,gain,victory,
defend,heart,,,
defend,human,civilization,portal,data
defend,human,civilization,shapers,lie
defend,human,civilization,shapers,portal
defend,human,civilization,xm,message
defend,human,lie,,
defend,human,nzeer,lie,
defend,message,answer,idea,
defend,pure,love,,
defend,search,safety,,
destroy,civilization,danger,,
destroy,civilization,end,conflict,war
destroy,complex,shapers,lie,
destroy,destiny,barrier,,
destroy,destiny,human,lie,
destroy,difficult,barrier,,
destroy,field,capture,key,
destroy,impure,truth,,
destroy,lie,inside,gain,soul
destroy,liveagain,,,
destroy,portal,shield,,
destroy,weak,civilization,,
deteriorate,advance,present,,
deteriorate,human,weak,rebel,
difficult,journey,pursue,n,l
difficult,journey,strong,body,
difficult,knowledge,advance,mind,
discover,destiny,inside,love,
discover,enlightenment,,,
discover,harmony,equal,,
discover,key,,,
discover,love,,,
discover,love,discover,harmony,
discover,love,inside,journey,
discover,n,l,technology,outside
discover,path,,,
discover,portal,,,
discover,portal,truth,,
discover,pure,truth,,
discover,resistance,truth,,
discover,safety,civilization,,
discover,shapers,civilization,,
discover,shapers,enlightenment,,
discover,shapers,lie,,
discover,shapers,message,,
discover,truth,,,
distance,impure,love,lie,
distance,self,avoid,human,lie
easy,path,future,follow,shapers
end,journey,discover,destiny,
end,old,civilization,create,new
enlightened,capture,victory,together,
enlightenment,resistance,love,strong,civilization
escape,before,death,end,all
escape,before,pure,death,
escape,body,journey,outside,now
escape,body,mind,self,want
escape,evolution,,,
escape,harm,,,
escape,impure,evolution,,
escape,impure,future,,
escape,impure,truth,,
escape,portal,harm,,
escape,shapers,harm,,
escape,shapers,harmony,,
escape,simple,human,future,
escape,speed,barrier,,
escape,together,,,
fear,chaos,xm,,
fear,complex,xm,,
fear,imperfect,nzeer,technology,
fear,imperfect,technology,,
field,all,,,
field,all,mind,,
field,before,civilization,,
field,nourish,civilization,,
field,together,improve,human,mind
follow,1,3,3,1
follow,journey,,,
follow,path,see,nature,
follow,pure,journey,,
follow,shapers,portal,message,
follow,your,heart,,
forget,conflict,accept,war,
forget,harm,forget,lie,love
forget,love,not,,
forget,past,conflict,pursue,love
forget,past,harm,heart,again
forget,past,harm,love,again
forget,past,see,present,danger
forget,war,gain,distance,harmony
forget,war,see,distance,harmony
